"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"VWA2",40.9560405720779,-2.98196939398786,1.01760945011623,-2.93036723828308,0.00338561628792527,0.043094847182417
"ARL14EPL",13.1130028095671,-2.98156209566369,1.0462834307414,-2.84966960964959,0.00437646644012097,0.0488750011909133
"PCBD1",9.05646324390099,-2.97961127728755,1.0960916614728,-2.71839608129479,0.00655992584706342,0.0588212276721339
"SDC1",58.0636430657616,-2.97613658979583,0.653690922667711,-4.55281920949771,5.29317587129109e-06,0.00267014853338023
"KAZN",22.1929835257084,-2.96984099877819,0.865705119863309,-3.43054572583227,0.000602368439758667,0.0199033458647268
"LOC104835046",40.806569435005,-2.96476304189573,0.710488556199367,-4.1728512247336,3.0081137677271e-05,0.00555276187464127
"PLEKHN1",54.3140779081576,-2.9571082605094,0.74704457890462,-3.95840936941857,7.54505601743372e-05,0.00826655199910082
"CAMK1G",19.2791686128942,-2.9524993751915,0.885672450897512,-3.33362449311767,0.000857223002842805,0.0234681154014447
"ITGA7",20.4358174234605,-2.94749368167172,1.02025759307516,-2.88897010096018,0.00386505822281279,0.0462129939866026
"CYGB",30.4669864041845,-2.94263572105936,0.879755957119048,-3.34483182210628,0.000823324778225307,0.0230926133796634
"MMP2",40.8813126203462,-2.93403323920417,0.932738184932333,-3.14561287036514,0.00165739228669054,0.0311572538207
"LOC104835745",13.0842993308134,-2.93352383011389,0.954225344417039,-3.07424640026309,0.00211035055591446,0.0357143132015699
"SGMS2",8.15085557560689,-2.92395951697066,1.0811156298753,-2.70457612134229,0.00683915979605429,0.060415963053351
"LOC104841178",6.0980612988451,-2.92029875162435,1.07157821418902,-2.72523154442298,0.00642564071207721,0.0583171135110744
"DNAJC28",5.00829777228701,-2.9182815591779,1.03453745964148,-2.82085634694101,0.00478956454201006,0.050731762188179
"ESRP1",35.7321542450298,-2.91679426351364,0.799469878518732,-3.64841045533561,0.000263867838676091,0.0141600098326282
"LOC104841801",14.2740193797989,-2.9088323312459,0.953972098163436,-3.04917967396102,0.00229467198132208,0.0370174231588123
"VDR",53.3556108384441,-2.90541906380846,0.689626865488524,-4.2130305665373,2.51966949348326e-05,0.00509651610239556
"FAM129B",90.8677365291419,-2.90057626999812,0.698229413824453,-4.15418802555255,3.26444665979763e-05,0.00560784104343883
"WLS",67.013278180991,-2.89705918521976,0.811133325361787,-3.57161898622227,0.000354781298657596,0.0158791051033217
"SEMA3C",175.755508333444,-2.8952484717015,0.657236229778964,-4.40518696401628,1.05692679139525e-05,0.00369376487284426
"C1R",13.7035355480206,-2.89485448935778,1.08093925293248,-2.6780917442903,0.00740429342993919,0.0633926693119904
"RNF180",12.4451118820615,-2.89072314896838,0.984192347896874,-2.93715263601224,0.00331241026152249,0.0428045236659275
"P2RX3",5.8188205725687,-2.888599895325,1.17446999485573,-2.45949228841716,0.0139133686674497,0.0884769115140484
